2012;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
84326E;4;;3;;4;;4;;4;;3;;2;muu;4;;5;;5;;5;;4.25;4;4.25;3.75;4.06;3;;3.84;3.79;4;
84429P;3;;3;;4;;2;;3;;3;;4;;1;;2;;2;;3;;3;4;4.5;3;3.63;4;;3.74;3.25;3;
84493A;2;;1;;;;;;;;;;3;;4;;5;;;;;;;;;;;;;;;;
84517F;6;;6;;4;1;5;;5;;6;;5;;5;;4;;5;;5;;5;5;4;4.5;4.63;5;;4.44;4.94;5;
84559L;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
84826M;5;;3;1;4;;5;;5;;4;;4;;3;;3;;3;;4;;5;4.5;4;3.5;4.25;4;;4;4.09;4;
84851U;5;;4;;3;;3;;3;;2;;3;;3;;3;;3;;3;;3;2;3;3.5;2.88;1;;3.64;3;3;
84855B;4;;5;;3;;4;;5;;5;;2;;4;;5;;5;;3;;4;4;4;4;4;4;;4.44;4.17;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
50163D;3;;5;;4;;3;;5;;3;;4;;3;;5;;5;;5;;4;5;5;5;4.75;3;;4.44;4.11;4;
54429R;5;;5;;4;1;5;;3;2;5;;4;;4;;3;;3;;5;;;;;;;;;4.3;4.05;4;
67278W;6;;5;;5;;5;;5;;5;;5;;5;;2;;4;;4;;5;5;4;5;4.75;5;;4.34;4.77;5;
67524V;5;;6;;5;;6;;5;;5;;5;;4;;5;;4;;5;;5;5;5;5;5;5;;4.44;4.99;5;
68935D;4;;0;2;2;;4;;3;;4;;2;;3;;1;1;1;;4;;4;4;4.5;3.5;4;4;;3.9;3.25;3;
69462V;4;;4;;3;;;;;;2;1;2;2;1;;4;;1;;2;2;;;;;;;;3.6;2.8;3;
69672W;3;;5;;2;;1;;4;;1;1;1;2;1;;1;;4;;1;;1;1;2;2;1.5;2;;3.54;2.34;2;
77782T;6;;6;;6;;5;;6;;6;;5;;5;;5;;5;;5;;5;5;5;5;5;5;;4.04;5.19;5;
77802U;5;;5;;2;2;4;;5;;5;;4;;4;;5;;4;;4;;4.5;4;3;4;3.88;4;;4.34;4.19;4;
78738C;5;;5;;5;;4;;6;;4;;5;;4;;5;;3;;5;;4;5;5;4;4.5;5;;3.5;4.52;5;
78806R;4;;4;;2;;1;;2;;2;;3;;3;;2;;0;1;5;;1.5;1;2;2;1.63;3;;2.74;2.43;2;
78962V;4;;4;;3;;2;;2;;4;;3;;2;;2;;3;;4;;1;1;2.5;3;1.88;1;;4.04;2.77;3;
79406F;4;;5;;3;;3;;5;;5;;3;;3;;4;;1;2;5;;4;3.5;3.5;3;3.5;4;;4.04;3.85;4;
79478B;5;;5;;4;;5;;5;;5;;3;;5;;4;;4;;5;;4.5;4;3.5;4;4;3;;4.34;4.31;4;
79511T;2;;4;;2;;4;;3;;4;;5;;4;;3;;4;;3;;4;4;4;5;4.25;4;;4;3.69;4;
79586S;5;;5;;5;;5;;5;;5;;4;;5;;4;;5;;5;;5;4;4;5;4.5;2;;4.04;4.4;4;
79654H;3;;2;;3;;4;;2;;4;;3;;2;2;3;;3;;5;;2.5;4;3.5;4;3.5;2;;4.3;3.23;3;
79835U;3;;4;;3;;6;;5;;5;;3;;4;;3;;4;;5;;4.5;4;4;4;4.13;5;;4.04;4.23;4;
79848M;5;;4;;4;;4;;5;;5;;3;;3;;4;;4;;5;;4;4;4;3;3.75;4;;3.94;4.11;4;
79910T;4;;3;;4;;5;;4;;4;;4;;4;;5;;5;;5;;4.5;3;4;4;3.88;1;;4.04;3.77;4;
79936D;3;;3;;4;;3;;5;;3;;4;;3;;5;;4;;5;;3;2.5;4;4;3.38;3;;4.34;3.66;4;
79995F;4;;5;;3;;4;;5;;4;;3;;4;;5;;4;;4;;4;5;5;3;4.25;4;;3.6;4.06;4;
80305N;5;;4;;5;;5;;5;;6;;4;;5;;5;;4;;5;;5;5;5;5;5;5;;3.94;4.78;5;
80326R;4;;5;;4;;4;;4;;4;;3;;2;;3;;4;;5;;2;3;5;4;3.5;3;;4.44;3.84;4;
80331W;5;;5;;3;;3;;5;;5;;2;;5;;5;;4;;4;;4;3;3;3;3.25;2;;4.3;3.83;4;
80337F;4;;5;;4;;5;;6;;5;;3;;4;;4;;5;;5;;3;4.5;5;4.5;4.25;4;;3.94;4.4;4;
80340K;3;;3;;3;;5;;2;;4;;4;;3;;3;;2;;4;;4;3.5;2.5;2;3;2;;3.54;3.14;3;
80357H;0;;0;;;;;;;;;;4;;2;;1;;1;2;0;3;;;;;;;;4;2.8;3;
80367U;4;;3;;4;;4;;5;;5;;3;;1;;2;;4;1;4;;2;3;3;3;2.75;4;;3.94;3.63;4;
81838F;4;;5;;2;;5;;4;1;4;;4;;2;;1;;5;;3;;5;4.5;5;3;4.38;3;;4.04;3.83;4;
81891B;2;;6;;2;;2;1;3;1;2;1;2;;5;;5;;4;;4;;5;5;3.5;5;4.63;5;;4.44;3.82;4;
81944U;2;2;5;;4;;2;;0;2;5;;5;;3;;3;1;4;;4;;2;3;2;3.5;2.63;3;;3.94;3.19;3;
81999S;3;;3;;3;;3;;4;;5;;3;;1;;3;;3;;4;;3;3.5;4;3;3.38;3;;4.04;3.4;3;
82015N;3;;5;;3;;2;;0;;1;;3;;2;;3;;3;;2;;4;3.5;5;3.5;4;5;;3.9;3.28;3;
82107K;5;;3;;4;;3;;3;;2;;3;;1;;3;;1;;2;;3.5;1.5;2;3;2.5;3;;4.04;3.04;3;
82136W;2;;1;;2;;2;;4;;3;;2;;4;;4;;3;;4;;3;2;3;3;2.75;2;;4;2.79;3;
60549T;;;;;;;;;;;;;0;4;0;4;0;3;2;;;;;;;;;;;3.64;2.07;2;
65143N;;;;;;;;;;;;;5;;3;;5;;5;;5;;;;;;;;;4.44;4.57;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
63729D;1;1;5;;2;1;4;;5;;3;1;4;;3;;4;;0;3;1;;2;3;1;3,5;2,38;1;;2,84;2,6;3;
65705D;5;;6;;5;;6;;6;;6;;5;;5;;4;;5;;4;1;4,5;5;4;5;4,63;5;;4,43;4,92;5;
66509L;5;;4;;5;;6;;5;;5;;5;;2;;5;;4;;5;;4,5;4;4;4;4,13;5;;4,5;4,65;5;
66998E;5;;4;;3;;4;;4;;5;;2;;2;;4;;4;;3;;3;4,5;5;4;4,13;3;;4,09;3,89;4;
67404N;4;;4;;3;;4;;5;;4;;4;;3;;4;muu;4;;4;;3;3;4;3;3,25;4;;3,76;3,76;4;
67519P;5;;4;;4;;5;;6;;5;;5;;2;;5;;4;;5;;3;5;5;5;4,5;4;;4,63;4,56;5;
67781K;3;;3;;5;;3;;4;;5;;4;;3;;3;;4;;3;;5;3,5;3,5;5;4,25;3;;3,84;3,67;4;
69037M;5;;5;;5;;5;;6;;6;;2;;3;;2;;5;;4;;5;5;5;3,5;4,63;5;;4,3;4,72;5;
69090H;2;;1;;2;;2;;3;;4;;3;;3;;2;;4;;3;;3;3;3;4;3,25;2;;3,63;2,81;3;
69092K;1;;1;;1;;3;;1;;4;;3;;2;;1;2;5;;4;;5;4;4;4;4,25;5;;4,5;3,28;3;
69355F;2;;5;;3;;4;;3;;3;;4;;2;;3;;5;;3;;3;4;4;4;3,75;2;;3,76;3,36;3;
69435L;4;;5;;4;;4;;4;;5;;2;;4;;5;;5;;5;;4;5;5;4;4,5;2;;4,17;4,07;4;
69678F;5;;4;;4;;1;;5;;3;;2;1;1;;5;;3;;2;;3;4;4;2,5;3,38;4;;2,84;3,35;3;
69791E;4;;4;;5;;5;;6;;3;;4;;1;;5;;4;;3;;3;3;2;3;2,75;2;;3,18;3,51;4;
69813J;5;;4;;4;;4;;6;;4;;4;;2;;1;1;3;;1;1;5;5;4,5;5;4,88;4;;3,71;4,14;4;
69921B;2;;2;;5;;2;;3;;5;;1;;3;;2;;1;;3;1;3,5;3;4,5;4;3,75;1;;3,76;3,05;3;
77095P;3;;4;;3;;2;;5;;4;;5;;5;;3;;3;;5;;2;4,5;5;5;4,13;3;;3,84;3,69;4;
80293W;5;;3;;5;;5;;6;;5;;4;;4;;4;;5;;2;;3;3;3;3;3;5;;4,17;4,23;4;
80308S;0;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
80312W;4;;4;;5;;4;;6;;5;;3;;2;;5;;5;;5;;3;3;3;3,5;3,13;4;;4,43;4,16;4;
80347T;1;;2;;3;;2;;3;;2;;4;;5;;1;;2;;4;;5;3;3;3,5;3,63;2;;3,51;2,79;3;
80349V;1;;2;;2;;3;;1;;2;;1;;3;;3;;2;;2;;2;2;2;3;2,25;1;;3,97;2,28;2;
80352B;2;;2;;2;;4;;3;;4;;2;;1;;5;;5;;5;;3;3;3;3;3;4;;4,37;3,37;3;
80354D;3;;4;;4;;4;;5;;5;;4;;4;;3;;5;;3;;3;4;3,5;4;3,63;4;;3,83;3,94;4;
80360L;5;;4;;5;;4;;5;;5;;3;;2;;3;;5;;3;;4,5;5;4;3,5;4,25;3;;3,51;4,02;4;
80363P;1;;2;;1;;1;;2;;5;;3;muu;1;;5;;3;;3;;2;1;2;2;1,75;3;;4,09;2,55;3;
80364R;3;;3;;5;;5;;4;;4;;5;;5;;4;;5;;4;;4;3;3;3,5;3,38;3;;3,76;3,77;4;
80369W;1;;3;;1;;1;;2;;1;;4;;2;;3;;2;;3;;4,5;4;4;4;4,13;2;;3,18;2,52;3;
80386U;3;;2;;1;;1;;2;;1;;3;;0;1;1;;4;;3;;2;2;3;3;2,5;2;;3,97;2,36;2;
80387V;4;;4;;4;1;6;;4;;4;;4;;4;;1;1;5;;2;;5;5;4;5;4,75;4;;3,84;4,05;4;
80396J;4;;5;;4;;3;;4;;3;;0;muu;3;;3;;4;;3;;4;3;3,5;2;3,13;5;;3,3;3,46;3;
80398L;1;;1;;1;;1;;1;;2;;4;muu;5;;2;;4;;3;;3;3;2;3;2,75;2;;2,84;2,13;2;
80399M;2;;3;;4;;3;;5;;5;;3;1;2;;3;;5;;3;;3;3;5;3;3,5;1;;4,3;3,43;3;
80401P;4;;2;;4;;5;;6;;6;;3;;3;;2;;3;;4;;4;5;3,5;5;4,38;4;;4,09;4,17;4;
80404T;3;;4;;3;;4;;5;;4;;3;;4;;3;;2;;4;;2,5;3;2;4;2,88;2;;3,84;3,28;3;
80408A;3;;3;;1;1;3;;5;;4;;3;;5;;3;;5;;5;;3,5;3;5;4;3,88;2;;3,97;3,44;3;
56295V;;;;;;;;;;;;;1;;4;;3;;4;;3;2;;;;;;;;3.51;3.21;3;
61240D;;;;;;;;;;;;;3;2;5;;1;1;1;;0;1;;;;;;;;3,17;2,92;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
64358F;6;;6;;5;;5;;6;;6;;5;;5;;3;;5;;5;;;;;;5;5;;5;5,27;5;
64982C;2;;3;;4;;3;;4;;5;;3;;3;;3;;3;;1;;;;;;4;3;;4;3,70;4;
65041E;5;;5;;4;;3;;5;;2;;0;;3;;3;;1;;1;;;;;;5;4;;2;3,75;4;
65108S;3;;5;;5;;2;1;5;;5;;3;;3;;3;;5;;5;;;;;;1;3;;4;3,22;3;
66463B;4;;2;;1;;3;;3;;4;;3;;1;;3;;3;;1;;;;;;2;2;;2;2,33;2;
66464C;4;;3;;3;;4;;4;;2;;3;;3;;5;;3;;5;;;;;;4;1;;5;3,68;4;
66467F;5;;5;;3;;5;;6;;6;;5;;5;;5;;5;;5;;;;;;5;5;;5;5,00;5;
66494R;3;;3;2;3;;5;;5;;3;;5;;4;1;5;;5;;3;;;;;;3;3;;5;3,77;4;
66495S;5;;5;;3;;5;;4;;4;;1;;5;;5;;5;;5;;;;;;5;3;;5;4,53;5;
67137M;3;1;2;1;4;;3;1;3;1;0;1;3;;2;1;4;1;4;1;2;1;;;;;2;3;;2;2,30;2;
68987V;4;;3;;3;;4;;5;;5;;3;;5;;3;;5;;5;;;;;;4;3;;4;3,90;4;
69130K;3;;2;;3;;2;;4;;4;;3;;3;;5;;3;;5;;;;;;2;4;;4;3,10;3;
69214U;4;;3;;5;;5;;4;;5;;3;;3;;3;;3;;3;;;;;;4;5;;4;4,23;4;
69221E;3;;5;;5;;5;;4;1;1;1;1;;3;;1;;1;;1;;;;;;2;3;;1;2,58;3;
69336F;3;;3;;4;;5;;5;;6;;1;;5;;3;;3;;1;;;;;;4;4;;3;3,88;4;
69466C;3;;4;;5;;4;;5;;6;;1;;1;2;3;;5;;3;;;;;;4;5;;3;4,05;4;
69519V;3;;2;;3;;2;;4;;1;;3;;5;;1;;3;;3;;;;;;1;2;;3;2,20;2;
69645M;2;;3;;3;;4;;2;;5;;1;;3;;3;;3;;1;;;;;;2;2;;4;2,97;3;
69683M;4;;2;1;1;;1;;1;;4;;1;;3;;1;;3;;5;;;;;;4;1;;4;2,97;3;
69789C;3;;4;;2;;3;;1;;3;1;0;1;1;;0;;;;;;;;;;;;;;;;
69826B;4;;5;;5;;3;;5;;5;;3;;5;;5;;3;;3;;;;;;4;5;;5;4,55;5;
69853L;4;1;4;;3;;4;;6;;5;;1;;4;1;5;;3;;4;1;;;;;3;4;;2;3,38;3;
69903C;5;;5;;5;;5;;4;;5;;1;;5;;0;;1;;5;;;;;;4;4;;2;3,83;4;
69962E;3;;5;;4;;5;;4;;5;;3;;5;;3;;5;;5;;;;;;5;3;;5;4,53;5;
77076P;3;;5;;5;;3;;4;;;;1;;0;;;;;;;;;;;;;;;;;;
77080U;6;;4;;5;;5;;6;;6;;5;;5;;3;;5;;3;;;;;;5;5;;4;4,88;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
49892V;4;;1;;3;;2;;1;;;;3;;1;;5;;1;;5;;;;;;1;;;2;1,78;2;
62721C;3;;3;;3;;4;;5;;;;3;;3;;1;;1;;3;;;;;;4;;;3;3,54;4;
63729D;5;;3;;4;;0;;3;;;;;;;;;;;;;;;;;;2;;;2;2,40;2;
64481S;5;;5;;5;;4;;5;;;;3;;1;;1;;1;;5;;;;;;3;;;1;3,12;3;
64975S;4;;3;;5;;3;;5;;;;5;;3;;5;;5;;3;;;;;;4;;;5;4,30;4;
65129U;5;;5;;5;;4;;6;;;;5;;3;;5;;3;;3;;;;;;5;;;5;5,00;5;
65130V;5;;4;;4;;6;;6;;;;5;;1;;5;;3;;5;;;;;;5;;;4;4,70;5;
65133B;4;;3;;2;;4;;5;;;;3;;5;;5;;3;;5;;;;;;3;;;5;3,84;4;
65142M;5;;5;;5;;6;;5;;;;5;;5;;5;;3;;5;;;;;;5;;;4;4,78;5;
65252H;3;;3;;2;;3;;2;;;;5;;3;;5;;5;;5;;;;;;4;;;5;3,74;4;
65312L;4;;5;;4;;4;;4;;;;5;;3;;5;;3;;5;;;;;;2;;;5;3,78;4;
66465D;3;;2;;2;;1;;3;;;;3;;3;;3;;3;;3;;;;;;1;;;2;1,78;2;
66470K;5;;4;;5;;5;;4;;;;5;;3;;5;;3;;5;;;;;;0;;;5;3,34;0;
66472M;5;;5;;5;;4;;5;;;;3;;3;;3;;3;;3;;;;;;3;;;3;3,72;4;
66473N;5;;4;;5;;5;;5;;;;3;;3;;3;;3;;3;;;;;;3;;;3;3,72;4;
66478U;3;;5;;4;;4;;3;;;;3;;3;;3;;5;;5;;;;;;2;;;2;2,72;3;
66480W;3;;2;;1;;2;;3;;;;5;;1;;3;;3;;3;;;;;;3;;;4;2,98;3;
66481A;3;;3;;3;;5;;4;;;;3;;1;;3;;5;;5;;;;;;4;;;2;3,24;3;
66482B;5;;5;;5;;5;;5;;;;3;;3;;5;;5;;3;;;;;;5;;;5;5,00;5;
66485E;5;;3;;5;;3;;2;;;;3;;3;;3;;3;;5;;;;;;3;;;3;3,24;3;
66486F;5;;4;;5;;5;;6;;;;5;;3;;3;;5;;5;;;;;;4;;;3;4,10;4;
66490L;4;;3;;3;;2;;4;;;;3;;1;;3;;5;;3;;;;;;3;;;3;3,08;3;
66491M;4;;1;;2;;1;;2;;;;3;;3;;3;;3;;3;;;;;;3;;;4;2,90;3;
66497U;3;;1;;2;;1;;1;;;;3;;3;;5;;1;;5;;;;;;;;;;;;
66500A;5;;5;;5;;6;;6;;;;5;;5;;5;;5;;5;;;;;;4;;;5;4,86;5;
66501B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66510M;4;;3;;4;;4;;5;;;;5;;1;;5;;3;;5;;;;;;4;;;3;3,70;4;
66775L;4;;3;;5;;4;;5;;;;3;;3;;5;;5;;3;;;;;;3;;;4;3,78;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
60687B;;;;;;;;;;;;;;;;;;;;;;;;;;;4;5;;4;5;5;
60745C;5;;4;;5;;5;;5;;;;;;;;;;;;;;;;;;5;3;;4;5;5;
60897C;5;;5;;5;;5;;6;;;;;;;;;;;;;;;;;;5;4;;4;5;5;
61153N;5;;5;;5;;5;;4;;;;;;;;;;;;;;;;;;5;4;;5;5;5;
62582T;5;;4;;4;;4;;5;;;;;;;;;;;;;;;;;;4;2;;2;4;4;
62599R;5;;4;;4;;4;;4;;;;;;;;;;;;;;;;;;4;1;;4;4;4;
62659U;5;;4;;4;;4;;6;;;;;;;;;;;;;;;;;;4;3;;5;4;4;
62735U;4;;4;;2;;3;;5;;;;;;;;;;;;;;;;;;3;2;;3;3;3;
62793V;4;;4;;3;;3;;5;;;;;;;;;;;;;;;;;;4;2;;5;4;4;
62861L;;;3;;4;;5;;5;;;;;;;;;;;;;;;;;;5;4;;3;4;4;
62883P;5;;6;;5;;6;;5;;;;;;;;;;;;;;;;;;5;3;;4;5;5;
62953H;5;;5;;5;;6;;5;;;;;;;;;;;;;;;;;;5;4;;2;4;4;
63120C;5;;4;;5;;3;;5;;;;;;;;;;;;;;;;;;4;4;;4;4;4;
63314H;4;;4;;2;;3;;1;;;;;;;;;;;;;;;;;;0;1;;0;0;0;
63361T;4;;4;;4;;5;;5;;;;;;;;;;;;;;;;;;3;2;;2;3;3;
63597E;5;;3;;3;;4;;4;;;;;;;;;;;;;;;;;;3;2;;3;3;3;
63609U;3;;1;;2;;2;;2;;;;;;;;;;;;;;;;;;0;0;;3;0;0;
63656H;1;;1;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;
63785C;5;;2;;1;;1;;2;;;;;;;;;;;;;;;;;;3;0;;3;0;0;
63908N;5;;4;;2;;3;;4;;;;;;;;;;;;;;;;;;3;1;;3;3;3;
65131W;4;;4;;3;;1;;6;;;;;;;;;;;;;;;;;;3;2;;4;3;3;
65132A;4;;5;;5;;6;;6;;;;;;;;;;;;;;;;;;4;3;;3;4;4;
65134C;5;;6;;5;;5;;5;;;;;;;;;;;;;;;;;;5;4;;5;5;5;
65135D;4;;2;;4;;4;;5;;;;;;;;;;;;;;;;;;3;1;;4;3;3;
65137F;4;;5;;4;;5;;5;;;;;;;;;;;;;;;;;;;;;;;;
65138H;5;;2;;4;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;
65139J;6;;5;;5;;2;;6;;;;;;;;;;;;;;;;;;4;5;;1;4;4;
65140K;3;;1;;1;;1;;1;;;;;;;;;;;;;;;;;;2;0;;4;0;0;
65141L;5;;4;;5;;4;;5;;;;;;;;;;;;;;;;;;4;1;;3;4;4;
65143N;4;;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65144P;5;;3;;4;;4;;4;;;;;;;;;;;;;;;;;;2;1;;3;3;3;
65146S;4;;3;;4;;4;;5;;;;;;;;;;;;;;;;;;4;4;;3;4;4;
65147T;5;;5;;6;;5;;6;;;;;;;;;;;;;;;;;;5;4;;4;5;5;
65148U;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65149V;3;;3;;4;;6;;5;;;;;;;;;;;;;;;;;;2;1;;3;3;3;
76514B;5;;4;;5;;4;;5;;;;;;;;;;;;;;;;;;5;5;;5;5;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
57902L;6;;4;;5;;5;;3;;;;;;;;;;;;;;;;;;5;5;;4;5;5;
